Date,Price,Open,High,Low,Vol.,Change %,,Date2,Price2,,Date(Month),Date(Year),,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
10/31/2023,478.75,478.25,483,477.5,136.05,0.001,,2023,582.4,,10,2023,12,,650.9,591.9,435.5,377.9,376.2,344.6,349.7,369.3,395.8,426.4,718.0,602.0,585.6,395.5,362.5,424.0,369.6,201.8,200.4
10/30/2023,478.25,480,484.25,477.5,136.57,-0.005,,2022,693.9,,10,2023,11,,668.2,570.9,415.6,373.6,365.8,343.2,345.0,366.3,373.2,423.0,740.1,627.0,552.3,389.9,373.8,381.5,355.8,193.0,198.9
10/27/2023,480.75,479.25,484,478.25,126.3,0.003,,2021,582,,10,2023,10,488.4,685.5,536.6,398.9,389.8,368.2,349.4,349.5,383.1,349.4,439.2,750.1,632.1,545.5,372.0,412.6,357.9,303.3,202.1,205.0
10/26/2023,479.25,480,484.25,477.5,190.73,-0.002,,2020,363.3,,10,2023,9,473.8,681.7,518.6,362.4,362.2,352.3,348.0,328.9,373.8,335.4,466.0,763.3,689.2,482.8,322.4,539.8,351.0,241.9,204.2,214.0
10/25/2023,480,483.5,486,476.75,177.28,-0.008,,2019,383.4,,10,2023,8,475.8,632.1,552.2,325.2,376.2,358.3,353.1,323.0,367.7,359.3,483.2,803.5,713.4,408.6,327.1,549.3,330.9,229.8,215.2,224.8
10/24/2023,484,490.75,491.5,482.75,161.08,-0.013,,2018,368.2,,10,2023,7,548.6,663.2,605.1,332.1,427.0,349.2,377.6,343.3,406.4,383.3,589.2,777.4,683.7,374.8,332.0,641.6,326.0,244.4,236.4,235.6
10/23/2023,490.25,494.25,497,490.25,126.44,-0.011,,2017,359.2,,10,2023,6,615.2,758.4,672.4,327.6,435.2,364.9,372.3,410.3,364.4,446.7,662.3,603.2,720.7,346.8,412.5,698.9,381.0,238.1,221.8,286.2
10/20/2023,495.5,504,509.5,495,264.54,-0.019,,2016,358.3,,10,2023,5,608.9,789.0,697.4,318.7,379.8,398.2,366.6,389.4,359.2,488.7,671.6,617.0,721.9,364.9,418.0,597.9,370.3,245.5,208.1,299.8
10/19/2023,505,492,505.5,490.25,279.44,0.026,,2015,376.7,,10,2023,4,654.9,786.1,616.1,320.9,357.7,385.5,363.0,372.7,374.5,502.2,648.5,634.0,753.1,354.0,387.2,593.4,361.6,236.8,207.9,315.6
10/18/2023,492,488.5,494,488.5,119.27,0.006,,2014,415.3,,10,2023,3,637.4,747.4,552.8,359.9,366.6,379.6,362.8,363.5,382.9,482.4,726.2,650.8,683.7,363.6,376.6,547.8,402.0,223.6,213.8,302.5
