Date,Price,Open,High,Low,Vol.,Change %,,Date2,Price2,,Date(Month),Date(Year),Month,Price(Month)
45230,478.75,478.25,483,477.5,136.05,0.001,,2023,582.4,,10,2023,45261,
45229,478.25,480,484.25,477.5,136.57,-0.005,,2022,693.9,,10,2023,45231,
45226,480.75,479.25,484,478.25,126.3,0.003,,2021,582,,10,2023,45200,488.4
45225,479.25,480,484.25,477.5,190.73,-0.002,,2020,363.3,,10,2023,45170,473.8
45224,480,483.5,486,476.75,177.28,-0.008,,2019,383.4,,10,2023,45139,475.8
45223,484,490.75,491.5,482.75,161.08,-0.013,,2018,368.2,,10,2023,45108,548.6
45222,490.25,494.25,497,490.25,126.44,-0.011,,2017,359.2,,10,2023,45078,615.2
45219,495.5,504,509.5,495,264.54,-0.019,,2016,358.3,,10,2023,45047,608.9
45218,505,492,505.5,490.25,279.44,0.026,,2015,376.7,,10,2023,45017,654.9
45217,492,488.5,494,488.5,119.27,0.006,,2014,415.3,,10,2023,44986,637.4
45216,489,490,492.75,487.75,102.03,-0.002,,2013,578.1,,10,2023,44958,671.1
45215,490,493.5,496.75,489.5,113.49,-0.007,,2012,694.9,,10,2023,44927,670.4
45212,493.25,495,498.75,490.5,138.23,-0.006,,2011,679.6,,10,2023,44896,650.9
45211,496,487.75,498.75,482.25,208.37,0.016,,2010,428.4,,10,2023,44866,668.2
45210,488,485.5,488.5,483.5,102.59,0.005,,2009,373.7,,10,2023,44835,685.5
45209,485.5,488,488.25,484.25,110.08,-0.006,,2008,527.8,,10,2023,44805,681.7
45208,488.25,492,497,487.25,115.53,-0.008,,2007,373.2,,10,2023,44774,632.1
45205,492,496,499,491.5,125.23,-0.011,,2006,260.3,,10,2023,44743,663.2
45204,497.5,486,498.5,482.5,186.34,0.024,,2005,208.8,,10,2023,44713,758.4
45203,486,487.5,489.75,482.5,129.88,-0.003,,2004,252.6,,10,2023,44682,789
45202,487.5,488,489.25,484.25,138.1,-0.003,,,,,10,2023,44652,786.1
45201,488.75,477,489.75,476,159.22,0.025,,,,,10,2023,44621,747.4
45198,476.75,487.5,490,475.5,209.42,-0.024,,,,,9,2023,44593,650.4
45197,488.5,483.75,489.25,481,114.32,0.011,,,,,9,2023,44562,609.4
45196,483.25,479.75,486.75,479,125.71,0.007,,,,,9,2023,44531,591.9
45195,479.75,481,483.5,476.5,117.59,-0.003,,,,,9,2023,44501,570.9
45194,481.25,475.25,482.5,473.75,101.59,0.008,,,,,9,2023,44470,536.6
45191,477.25,475,478.5,474.25,88.61,0.004,,,,,9,2023,44440,518.6
45190,475.25,481,482.5,474,115.2,-0.015,,,,,9,2023,44409,552.2
45189,482.25,476,483,474.5,162.3,0.013,,,,,9,2023,44378,605.1
45188,476.25,471.25,477,467.75,139.65,0.01,,,,,9,2023,44348,672.4
45187,471.5,475.25,478.75,469,143.32,-0.01,,,,,9,2023,44317,697.4
45184,476.25,480,483.5,475,110.38,0.03,,,,,9,2023,44287,616.1
45183,462.5,455.75,459.25,455.75,0.09,-0.003,,,,,9,2023,44256,552.8
45182,464,466.75,467.75,462.5,0.12,0.002,,,,,9,2023,44228,550
45181,463.25,473.5,473.5,462.75,0.17,-0.017,,,,,9,2023,44197,515.4
45180,471.25,470.25,471.5,468,0.43,0.006,,,,,9,2023,44166,435.5
45177,468.5,471.25,472.25,467,0.23,-0.005,,,,,9,2023,44136,415.6
45176,470.75,471.25,474,468.5,0.74,-0.002,,,,,9,2023,44105,398.9
45175,471.5,473.5,476.25,471.25,0.84,0.001,,,,,9,2023,44075,362.4
45174,471,466,473.75,462.5,1.55,0.013,,,,,9,2023,44044,325.2
45170,464.75,461,468.25,460.25,3.31,0.008,,,,,9,2023,44013,332.1
45169,461,461.75,468,459,12.07,-0.002,,,,,8,2023,43983,327.6
45168,461.75,469,474.75,460.25,74.61,-0.017,,,,,8,2023,43952,318.7
45167,469.5,476.5,483,468.5,98.8,-0.019,,,,,8,2023,43922,320.9
45166,478.5,476.25,480,472.25,87.58,0.017,,,,,8,2023,43891,359.9
45163,470.75,471.25,477,469,84.41,-0.003,,,,,8,2023,43862,377.4
45162,472.25,476.25,480.5,468.5,85.16,-0.008,,,,,8,2023,43831,385.7
45161,476.25,467,478.25,465.5,84.52,0.021,,,,,8,2023,43800,377.9
45160,466.5,469.25,472.5,461,72.98,-0.006,,,,,8,2023,43770,373.6
45159,469.25,486,493,468,74.71,-0.021,,,,,8,2023,43739,389.8
45156,479.5,473.75,482.5,472.5,66.48,0.014,,,,,8,2023,43709,362.2
45155,473,470,475,464.75,69.17,0.008,,,,,8,2023,43678,376.2
45154,469.5,463,473,462,70.84,0.012,,,,,8,2023,43647,427
