Month,Operating Costs,Overhead,ProductionValue,Profit
1,164.99,213.33,246.67,-131.65
2,164.99,213.33,246.67,-131.65
3,164.99,213.33,246.67,-131.65
4,164.99,213.33,246.67,-131.65
5,164.99,213.33,246.67,-131.65
6,164.99,213.33,246.67,-131.65
7,164.99,213.33,246.67,-131.65
8,164.99,213.33,246.67,-131.65
9,164.99,213.33,246.67,-131.65
10,164.99,213.33,246.67,-131.65
11,164.99,213.33,246.67,-131.65
12,164.99,213.33,246.67,-131.65
13,162.3,186.23,266.92,-81.61
14,162.3,186.23,266.92,-81.61
15,162.3,186.23,266.92,-81.61
16,162.3,186.23,266.92,-81.61
17,162.3,186.23,266.92,-81.61
18,162.3,186.23,266.92,-81.61
19,162.3,186.23,266.92,-81.61
20,162.3,186.23,266.92,-81.61
21,162.3,186.23,266.92,-81.61
22,162.3,186.23,266.92,-81.61
23,162.3,186.23,266.92,-81.61
24,162.3,186.23,266.92,-81.61
25,145.48,188.83,312.82,-21.49
26,145.48,188.83,312.82,-21.49
27,145.48,188.83,312.82,-21.49
28,145.48,188.83,312.82,-21.49
29,145.48,188.83,312.82,-21.49
30,145.48,188.83,312.82,-21.49
31,145.48,188.83,312.82,-21.49
32,145.48,188.83,312.82,-21.49
33,145.48,188.83,312.82,-21.49
34,145.48,188.83,312.82,-21.49
35,145.48,188.83,312.82,-21.49
36,145.48,188.83,312.82,-21.49
37,161.16,193.25,319.62,-34.79
38,161.16,193.25,319.62,-34.79
39,161.16,193.25,319.62,-34.79
40,161.16,193.25,319.62,-34.79
41,161.16,193.25,319.62,-34.79
42,161.16,193.25,319.62,-34.79
43,161.16,193.25,319.62,-34.79
44,161.16,193.25,319.62,-34.79
45,161.16,193.25,319.62,-34.79
46,161.16,193.25,319.62,-34.79
47,161.16,193.25,319.62,-34.79
48,161.16,193.25,319.62,-34.79
49,175.94,201.56,362.35,-15.15
50,175.94,201.56,362.35,-15.15
51,175.94,201.56,362.35,-15.15
52,175.94,201.56,362.35,-15.15
53,175.94,201.56,362.35,-15.15
54,175.94,201.56,362.35,-15.15
55,175.94,201.56,362.35,-15.15
56,175.94,201.56,362.35,-15.15
57,175.94,201.56,362.35,-15.15
58,175.94,201.56,362.35,-15.15
59,175.94,201.56,362.35,-15.15
60,175.94,201.56,362.35,-15.15
61,186.37,200.51,260.43,-126.45
62,186.37,200.51,260.43,-126.45
63,186.37,200.51,260.43,-126.45
64,186.37,200.51,260.43,-126.45
65,186.37,200.51,260.43,-126.45
66,186.37,200.51,260.43,-126.45
67,186.37,200.51,260.43,-126.45
68,186.37,200.51,260.43,-126.45
69,186.37,200.51,260.43,-126.45
70,186.37,200.51,260.43,-126.45
71,186.37,200.51,260.43,-126.45
72,186.37,200.51,260.43,-126.45
73,205.98,203.76,351.87,-57.87
74,205.98,203.76,351.87,-57.87
75,205.98,203.76,351.87,-57.87
76,205.98,203.76,351.87,-57.87
77,205.98,203.76,351.87,-57.87
78,205.98,203.76,351.87,-57.87
79,205.98,203.76,351.87,-57.87
80,205.98,203.76,351.87,-57.87
81,205.98,203.76,351.87,-57.87
82,205.98,203.76,351.87,-57.87
83,205.98,203.76,351.87,-57.87
84,205.98,203.76,351.87,-57.87
85,228.99,214.98,468.94,24.97
86,228.99,214.98,468.94,24.97
87,228.99,214.98,468.94,24.97
88,228.99,214.98,468.94,24.97
89,228.99,214.98,468.94,24.97
90,228.99,214.98,468.94,24.97
91,228.99,214.98,468.94,24.97
92,228.99,214.98,468.94,24.97
93,228.99,214.98,468.94,24.97
94,228.99,214.98,468.94,24.97
95,228.99,214.98,468.94,24.97
96,228.99,214.98,468.94,24.97
97,295.69,233.69,629.36,99.98
98,295.69,233.69,629.36,99.98
99,295.69,233.69,629.36,99.98
100,295.69,233.69,629.36,99.98
101,295.69,233.69,629.36,99.98
102,295.69,233.69,629.36,99.98
103,295.69,233.69,629.36,99.98
104,295.69,233.69,629.36,99.98
105,295.69,233.69,629.36,99.98
106,295.69,233.69,629.36,99.98
107,295.69,233.69,629.36,99.98
108,295.69,233.69,629.36,99.98
109,295.01,255.69,561.22,10.52
110,295.01,255.69,561.22,10.52
111,295.01,255.69,561.22,10.52
112,295.01,255.69,561.22,10.52
113,295.01,255.69,561.22,10.52
114,295.01,255.69,561.22,10.52
115,295.01,255.69,561.22,10.52
116,295.01,255.69,561.22,10.52
117,295.01,255.69,561.22,10.52
118,295.01,255.69,561.22,10.52
119,295.01,255.69,561.22,10.52
120,295.01,255.69,561.22,10.52
121,286.41,263.79,689.39,139.19
122,286.41,263.79,689.39,139.19
123,286.41,263.79,689.39,139.19
124,286.41,263.79,689.39,139.19
125,286.41,263.79,689.39,139.19
126,286.41,263.79,689.39,139.19
127,286.41,263.79,689.39,139.19
128,286.41,263.79,689.39,139.19
129,286.41,263.79,689.39,139.19
130,286.41,263.79,689.39,139.19
131,286.41,263.79,689.39,139.19
132,286.41,263.79,689.39,139.19
133,332.33,281.13,837.77,224.31
134,332.33,281.13,837.77,224.31
135,332.33,281.13,837.77,224.31
136,332.33,281.13,837.77,224.31
137,332.33,281.13,837.77,224.31
138,332.33,281.13,837.77,224.31
139,332.33,281.13,837.77,224.31
140,332.33,281.13,837.77,224.31
141,332.33,281.13,837.77,224.31
142,332.33,281.13,837.77,224.31
143,332.33,281.13,837.77,224.31
144,332.33,281.13,837.77,224.31
145,349.59,303.98,802.55,148.98
146,349.59,303.98,802.55,148.98
147,349.59,303.98,802.55,148.98
148,349.59,303.98,802.55,148.98
149,349.59,303.98,802.55,148.98
150,349.59,303.98,802.55,148.98
151,349.59,303.98,802.55,148.98
152,349.59,303.98,802.55,148.98
153,349.59,303.98,802.55,148.98
154,349.59,303.98,802.55,148.98
155,349.59,303.98,802.55,148.98
156,349.59,303.98,802.55,148.98
157,355.6,320.85,720.51,44.06
158,355.6,320.85,720.51,44.06
159,355.6,320.85,720.51,44.06
160,355.6,320.85,720.51,44.06
161,355.6,320.85,720.51,44.06
162,355.6,320.85,720.51,44.06
163,355.6,320.85,720.51,44.06
164,355.6,320.85,720.51,44.06
165,355.6,320.85,720.51,44.06
